Ngày,Khu vực,Tổng tin bán,Lượt xem khu vực,Tin cắt lỗ,% Cắt lỗ,Đăng hôm nay,% Hôm nay,Giá bán TB (tr/m²),% Tăng giá YoY
2026-03-12,Đan Phượng,0,,0,,0,,,
2026-03-12,Nam Từ Liêm,2519,4531,5,16.67,0,,95.6,35.0
2026-03-12,Cầu Giấy,1954,9926,3,10.0,0,,110.7,45.0
2026-03-12,Hà Đông,1875,5690,0,,0,,73.1,
2026-03-12,Hoàng Mai,1618,5857,1,3.33,0,,77.9,50.0
2026-03-12,Thanh Xuân,1379,5858,4,13.33,0,,99.2,
2026-03-12,Tây Hồ,1063,3019,1,3.33,0,,129.6,
2026-03-12,Bắc Từ Liêm,960,2765,6,20.0,0,,98.1,
2026-03-12,Gia Lâm,793,1025,7,23.33,2,6.67,73.4,
2026-03-12,Long Biên,702,4728,1,4.17,0,,81.6,
2026-03-12,Hoài Đức,634,1541,2,8.33,0,,79.4,56.0
2026-03-12,Đống Đa,550,7547,5,16.67,2,6.67,80.5,
2026-03-12,Hai Bà Trưng,436,5015,12,50.0,0,,102.2,
2026-03-12,Thanh Trì,419,1460,3,12.0,0,,77.9,46.0
2026-03-12,Ba Đình,278,4363,3,12.5,0,,174.4,
2026-03-12,Đông Anh,206,1426,3,14.29,0,,103.3,
2026-03-12,Đan Phượng,66,,1,5.0,0,,71.7,
2026-03-12,Nam Từ Liêm,2519,4531,5,16.67,2,6.67,95.3,35.0
2026-03-12,Cầu Giấy,0,,0,,0,,,
2026-03-12,Hà Đông,0,,0,,0,,,
2026-03-12,Hoàng Mai,0,,0,,0,,,
2026-03-12,Thanh Xuân,1379,5858,4,13.33,0,,99.2,
2026-03-12,Tây Hồ,1063,3019,1,3.33,0,,129.6,
2026-03-12,Bắc Từ Liêm,0,,0,,0,,,
2026-03-12,Gia Lâm,793,1025,7,23.33,2,6.67,73.4,
2026-03-12,Long Biên,702,4728,1,4.17,0,,81.6,
2026-03-12,Hoài Đức,0,,0,,0,,,
2026-03-12,Đống Đa,0,,0,,0,,,
2026-03-12,Hai Bà Trưng,0,,0,,0,,,
2026-03-12,Thanh Trì,418,1460,3,12.0,0,,77.9,46.0
2026-03-12,Ba Đình,0,,0,,0,,,
2026-03-12,Đông Anh,206,1426,3,14.29,0,,103.3,
2026-03-12,Đan Phượng,66,,1,5.0,0,,71.7,
2026-03-12,Nam Từ Liêm,2517,4531,5,16.67,2,6.67,95.3,35.0
2026-03-12,Cầu Giấy,1952,9926,3,10.0,1,3.33,110.8,45.0
2026-03-12,Hà Đông,1872,5690,0,,0,,73.1,
2026-03-12,Hoàng Mai,1617,5857,1,3.33,0,,77.9,50.0
2026-03-12,Thanh Xuân,1378,5858,4,13.33,0,,99.2,
2026-03-12,Tây Hồ,0,,0,,0,,,
2026-03-12,Bắc Từ Liêm,0,,0,,0,,,
2026-03-12,Gia Lâm,0,,0,,0,,,
2026-03-12,Long Biên,0,,0,,0,,,
2026-03-12,Hoài Đức,0,,0,,0,,,
2026-03-12,Đống Đa,0,,0,,0,,,
2026-03-12,Hai Bà Trưng,0,,0,,0,,,
2026-03-12,Thanh Trì,0,,0,,0,,,
2026-03-12,Ba Đình,0,,0,,0,,,
2026-03-12,Đông Anh,206,1426,3,14.29,0,,103.3,
2026-03-12,Đan Phượng,66,,1,5.0,0,,71.7,
2026-03-12,Nam Từ Liêm,2513,4531,5,16.67,2,6.67,95.3,35.0
2026-03-12,Cầu Giấy,1949,9926,2,6.67,3,10.0,111.0,45.0
2026-03-12,Hà Đông,0,,0,,0,,,
2026-03-12,Hoàng Mai,0,,0,,0,,,
2026-03-12,Thanh Xuân,1378,5858,4,13.33,1,3.33,99.2,
2026-03-12,Tây Hồ,1063,3019,1,3.33,0,,129.6,
2026-03-12,Bắc Từ Liêm,960,2765,6,20.0,0,,98.1,
2026-03-12,Gia Lâm,792,1025,8,26.67,4,13.33,72.9,
2026-03-12,Long Biên,0,,0,,0,,,
2026-03-12,Hoài Đức,0,,0,,0,,,
2026-03-12,Đống Đa,544,7547,4,13.33,6,20.0,77.5,
2026-03-12,Hai Bà Trưng,436,5015,12,50.0,0,,102.2,
2026-03-12,Thanh Trì,0,,0,,0,,,
2026-03-12,Ba Đình,0,,0,,0,,,
2026-03-12,Đông Anh,0,,0,,0,,,
2026-03-12,Đan Phượng,0,,0,,0,,,
2026-03-12,Nam Từ Liêm,2513,4531,5,16.67,2,6.67,95.3,35.0
2026-03-12,Cầu Giấy,1949,9926,2,6.67,4,13.33,110.5,45.0
2026-03-12,Hà Đông,0,,0,,0,,,
2026-03-12,Hoàng Mai,0,,0,,0,,,
2026-03-12,Thanh Xuân,1378,5858,4,13.33,3,10.0,99.2,
2026-03-12,Tây Hồ,0,,0,,0,,,
2026-03-12,Bắc Từ Liêm,960,2765,6,20.0,1,3.33,98.1,
2026-03-12,Gia Lâm,0,,0,,0,,,
2026-03-12,Long Biên,702,4728,1,4.17,0,,81.6,
2026-03-12,Hoài Đức,0,,0,,0,,,
2026-03-12,Đống Đa,544,7547,4,13.33,8,26.67,75.8,
2026-03-12,Hai Bà Trưng,0,,0,,0,,,
2026-03-12,Thanh Trì,0,,0,,0,,,
2026-03-12,Ba Đình,278,4363,3,12.5,0,,174.4,
2026-03-12,Đông Anh,205,1426,3,14.29,0,,103.3,
2026-03-12,Đan Phượng,66,,1,5.0,0,,71.7,
2026-03-12,Nam Từ Liêm,0,,0,,0,,,
2026-03-12,Cầu Giấy,1949,9926,2,6.67,4,13.33,110.5,45.0
2026-03-12,Hà Đông,0,,0,,0,,,
2026-03-12,Hoàng Mai,0,,0,,0,,,
2026-03-12,Thanh Xuân,1378,5858,4,13.33,3,10.0,99.2,
2026-03-12,Tây Hồ,1063,3019,1,3.33,0,,129.6,
2026-03-12,Bắc Từ Liêm,960,2765,6,20.0,1,3.33,98.1,
2026-03-12,Gia Lâm,792,1025,8,26.67,5,16.67,72.9,
2026-03-12,Long Biên,0,,0,,0,,,
2026-03-12,Hoài Đức,0,,0,,0,,,
2026-03-12,Đống Đa,544,7547,4,13.33,12,40.0,76.5,
2026-03-12,Hai Bà Trưng,0,,0,,0,,,
2026-03-12,Thanh Trì,0,,0,,0,,,
2026-03-12,Ba Đình,278,4363,3,12.5,0,,174.4,
2026-03-12,Đông Anh,0,,0,,0,,,
2026-03-12,Đan Phượng,0,,0,,0,,,
2026-03-12,Nam Từ Liêm,2513,4531,3,10.0,9,30.0,93.1,35.0
2026-03-12,Cầu Giấy,1949,9926,3,10.0,6,20.0,110.9,45.0
2026-03-12,Hà Đông,1870,5690,0,,2,6.67,73.1,
2026-03-12,Hoàng Mai,1617,5857,1,3.33,4,13.33,77.9,50.0
2026-03-12,Thanh Xuân,1378,5858,4,13.33,3,10.0,99.2,
2026-03-12,Tây Hồ,1063,3019,1,3.33,0,,129.6,
2026-03-12,Bắc Từ Liêm,960,2765,6,20.0,4,13.33,98.1,
2026-03-12,Gia Lâm,0,,0,,0,,,
2026-03-12,Long Biên,0,,0,,0,,,
2026-03-12,Hoài Đức,0,,0,,0,,,
2026-03-12,Đống Đa,0,,0,,0,,,
2026-03-12,Hai Bà Trưng,0,,0,,0,,,
2026-03-12,Thanh Trì,0,,0,,0,,,
2026-03-12,Ba Đình,0,,0,,0,,,
2026-03-12,Đông Anh,0,,0,,0,,,
2026-03-12,Đan Phượng,0,,0,,0,,,
2026-03-12,Nam Từ Liêm,2512,4531,4,13.33,10,33.33,93.5,35.0
2026-03-12,Cầu Giấy,1949,9926,3,10.0,7,23.33,110.3,45.0
2026-03-12,Hà Đông,0,,0,,0,,,
2026-03-12,Hoàng Mai,1617,5857,1,3.33,6,20.0,77.9,50.0
2026-03-12,Thanh Xuân,0,,0,,0,,,
2026-03-12,Tây Hồ,0,,0,,0,,,
2026-03-12,Bắc Từ Liêm,0,,0,,0,,,
2026-03-12,Gia Lâm,0,,0,,0,,,
2026-03-12,Long Biên,0,,0,,0,,,
2026-03-12,Hoài Đức,634,1541,1,4.17,1,4.17,81.9,56.0
2026-03-12,Đống Đa,0,,0,,0,,,
2026-03-12,Hai Bà Trưng,0,,0,,0,,,
2026-03-12,Thanh Trì,0,,0,,0,,,
2026-03-12,Ba Đình,0,,0,,0,,,
2026-03-12,Đông Anh,0,,0,,0,,,
2026-03-12,Đan Phượng,0,,0,,0,,,
2026-03-12,Nam Từ Liêm,0,,0,,0,,,
2026-03-12,Cầu Giấy,1949,9926,3,10.0,9,30.0,108.2,45.0
2026-03-12,Hà Đông,0,,0,,0,,,
2026-03-12,Hoàng Mai,1617,5857,1,3.33,6,20.0,77.9,50.0
2026-03-12,Thanh Xuân,1378,5858,4,13.33,3,10.0,99.2,
2026-03-12,Tây Hồ,1063,3019,1,3.33,1,3.33,129.6,
2026-03-12,Bắc Từ Liêm,0,,0,,0,,,
2026-03-12,Gia Lâm,792,1025,8,26.67,10,33.33,73.4,
2026-03-12,Long Biên,0,,0,,0,,,
2026-03-12,Hoài Đức,634,1541,1,4.17,1,4.17,81.9,56.0
2026-03-12,Đống Đa,544,7547,4,13.33,19,63.33,80.7,
2026-03-12,Hai Bà Trưng,436,5015,12,50.0,1,4.17,102.2,
2026-03-12,Thanh Trì,418,1460,2,8.0,2,8.0,76.6,46.0
2026-03-12,Ba Đình,0,,0,,0,,,
2026-03-12,Đông Anh,205,1426,3,14.29,0,,103.3,
2026-03-12,Đan Phượng,0,,0,,0,,,
2026-03-12,Nam Từ Liêm,2512,4531,5,16.67,10,33.33,95.8,35.0
2026-03-12,Cầu Giấy,1949,9926,3,10.0,9,30.0,108.2,45.0
2026-03-12,Hà Đông,1869,5690,0,,3,10.0,73.1,
2026-03-12,Hoàng Mai,1617,5857,1,3.33,6,20.0,77.9,50.0
2026-03-12,Thanh Xuân,0,,0,,0,,,
2026-03-12,Tây Hồ,0,,0,,0,,,
2026-03-12,Bắc Từ Liêm,960,2765,6,20.0,7,23.33,98.1,
2026-03-12,Gia Lâm,792,1025,8,26.67,10,33.33,73.4,
2026-03-12,Long Biên,702,4728,1,4.17,1,4.17,81.6,
2026-03-12,Hoài Đức,0,,0,,0,,,
2026-03-12,Đống Đa,0,,0,,0,,,
2026-03-12,Hai Bà Trưng,0,,0,,0,,,
2026-03-12,Thanh Trì,418,1460,2,8.0,2,8.0,76.6,46.0
2026-03-12,Ba Đình,278,4363,3,12.5,0,,174.4,
2026-03-12,Đông Anh,0,,0,,0,,,
2026-03-12,Đan Phượng,66,,1,5.0,0,,71.7,
2026-03-12,Nam Từ Liêm,2511,4531,5,16.67,10,33.33,94.1,35.0
2026-03-12,Cầu Giấy,1949,9926,3,10.0,10,33.33,109.0,45.0
2026-03-12,Hà Đông,1869,5690,0,,3,10.0,73.1,
2026-03-12,Hoàng Mai,1617,5857,1,3.33,6,20.0,77.9,50.0
2026-03-12,Thanh Xuân,1378,5858,4,13.33,3,10.0,99.2,
2026-03-12,Tây Hồ,1063,3019,1,3.33,1,3.33,129.6,
2026-03-12,Bắc Từ Liêm,960,2765,6,20.0,7,23.33,98.1,
2026-03-12,Gia Lâm,792,1025,8,26.67,10,33.33,73.4,
2026-03-12,Long Biên,702,4728,1,4.17,1,4.17,81.6,
2026-03-12,Hoài Đức,634,1541,1,4.17,2,8.33,81.9,56.0
2026-03-12,Đống Đa,543,7547,6,20.0,19,63.33,83.7,
2026-03-12,Hai Bà Trưng,436,5015,12,50.0,1,4.17,102.2,
2026-03-12,Thanh Trì,418,1460,2,8.0,2,8.0,76.6,46.0
2026-03-12,Ba Đình,278,4363,3,12.5,0,,174.4,
2026-03-12,Đông Anh,205,1426,3,14.29,0,,103.3,
2026-03-12,Đan Phượng,66,,1,5.0,0,,71.7,
2026-03-12,Nam Từ Liêm,0,,0,,0,,,
2026-03-12,Cầu Giấy,0,,0,,0,,,
2026-03-12,Hà Đông,1871,5690,1,3.33,4,13.33,74.1,
2026-03-12,Hoàng Mai,1617,5857,1,3.33,6,20.0,77.9,50.0
2026-03-12,Thanh Xuân,0,,0,,0,,,
2026-03-12,Tây Hồ,1063,3019,1,3.33,1,3.33,129.6,
2026-03-12,Bắc Từ Liêm,960,2765,6,20.0,7,23.33,98.1,
2026-03-12,Gia Lâm,793,1025,8,26.67,10,33.33,73.4,
2026-03-12,Long Biên,0,,0,,0,,,
2026-03-12,Hoài Đức,634,1541,1,4.17,2,8.33,81.9,56.0
2026-03-12,Đống Đa,0,,0,,0,,,
2026-03-12,Hai Bà Trưng,436,5015,12,50.0,1,4.17,102.2,
2026-03-12,Thanh Trì,0,,0,,0,,,
2026-03-12,Ba Đình,0,,0,,0,,,
2026-03-12,Đông Anh,0,,0,,0,,,
2026-03-12,Đan Phượng,66,,1,5.0,0,,71.7,
2026-03-12,Nam Từ Liêm,2512,4531,5,16.67,10,33.33,94.1,35.0
2026-03-12,Cầu Giấy,0,,0,,0,,,
2026-03-12,Hà Đông,1871,5690,1,3.33,4,13.33,74.1,
2026-03-12,Hoàng Mai,0,,0,,0,,,
2026-03-12,Thanh Xuân,1378,5858,4,13.33,3,10.0,99.2,
2026-03-12,Tây Hồ,1063,3019,1,3.33,1,3.33,129.6,
2026-03-12,Bắc Từ Liêm,960,2765,6,20.0,7,23.33,98.1,
2026-03-12,Gia Lâm,793,1025,8,26.67,10,33.33,73.4,
2026-03-12,Long Biên,0,,0,,0,,,
2026-03-12,Hoài Đức,634,1541,1,4.17,2,8.33,81.9,56.0
2026-03-12,Đống Đa,543,7547,6,20.0,19,63.33,85.0,
2026-03-12,Hai Bà Trưng,436,5015,12,50.0,1,4.17,102.2,
2026-03-12,Thanh Trì,418,1460,2,8.0,2,8.0,76.6,46.0
2026-03-12,Ba Đình,278,4363,3,12.5,0,,174.4,
2026-03-12,Đông Anh,0,,0,,0,,,
2026-03-12,Đan Phượng,66,,1,5.0,0,,71.7,
2026-03-12,Nam Từ Liêm,2512,4531,5,16.67,10,33.33,94.1,35.0
2026-03-12,Cầu Giấy,1950,9926,3,10.0,10,33.33,110.7,45.0
2026-03-12,Hà Đông,1871,5690,1,3.33,4,13.33,74.1,
2026-03-12,Hoàng Mai,1617,5857,1,3.33,6,20.0,77.9,50.0
2026-03-12,Thanh Xuân,1378,5858,4,13.33,3,10.0,99.2,
2026-03-12,Tây Hồ,1063,3019,1,3.33,1,3.33,129.6,
2026-03-12,Bắc Từ Liêm,960,2765,6,20.0,8,26.67,98.8,
2026-03-12,Gia Lâm,793,1025,8,26.67,10,33.33,73.4,
2026-03-12,Long Biên,0,,0,,0,,,
2026-03-12,Hoài Đức,634,1541,1,4.17,2,8.33,81.9,56.0
2026-03-12,Đống Đa,0,,0,,0,,,
2026-03-12,Hai Bà Trưng,0,,0,,0,,,
2026-03-12,Thanh Trì,0,,0,,0,,,
2026-03-12,Ba Đình,278,4363,3,12.5,0,,174.4,
2026-03-12,Đông Anh,205,1426,3,14.29,0,,103.3,
2026-03-12,Đan Phượng,66,,1,5.0,0,,71.7,
2026-03-13,Nam Từ Liêm,2512,4531,5,16.67,10,33.33,94.1,35.0
2026-03-13,Cầu Giấy,1959,9926,3,10.0,10,33.33,110.7,45.0
2026-03-13,Hà Đông,0,,0,,0,,,
2026-03-13,Hoàng Mai,1617,5857,1,3.33,6,20.0,77.9,50.0
2026-03-13,Thanh Xuân,0,,0,,0,,,
2026-03-13,Tây Hồ,0,,0,,0,,,
2026-03-13,Bắc Từ Liêm,960,2765,6,20.0,7,23.33,98.1,
2026-03-13,Gia Lâm,793,1025,8,26.67,10,33.33,73.4,
2026-03-13,Long Biên,702,4728,1,4.17,1,4.17,81.6,
2026-03-13,Hoài Đức,634,1541,1,4.17,2,8.33,81.9,56.0
2026-03-13,Đống Đa,0,,0,,0,,,
2026-03-13,Hai Bà Trưng,436,5015,12,50.0,1,4.17,102.2,
2026-03-13,Thanh Trì,0,,0,,0,,,
2026-03-13,Ba Đình,278,4363,3,12.5,0,,174.4,
2026-03-13,Đông Anh,0,,0,,0,,,
2026-03-13,Đan Phượng,66,,1,5.0,0,,71.7,
2026-03-13,Nam Từ Liêm,2512,4531,5,16.67,10,33.33,94.1,35.0
2026-03-13,Cầu Giấy,1960,9926,3,10.0,10,33.33,110.7,45.0
2026-03-13,Hà Đông,1871,5690,1,3.33,4,13.33,74.1,
2026-03-13,Hoàng Mai,1617,5857,1,3.33,6,20.0,77.9,50.0
2026-03-13,Thanh Xuân,0,,0,,0,,,
2026-03-13,Tây Hồ,1063,3019,1,3.33,1,3.33,129.6,
2026-03-13,Bắc Từ Liêm,0,,0,,0,,,
2026-03-13,Gia Lâm,0,,0,,0,,,
2026-03-13,Long Biên,0,,0,,0,,,
2026-03-13,Hoài Đức,635,1541,1,4.17,3,12.5,81.9,56.0
2026-03-13,Đống Đa,0,,0,,0,,,
2026-03-13,Hai Bà Trưng,0,,0,,0,,,
2026-03-13,Thanh Trì,418,1460,2,8.0,2,8.0,77.7,46.0
2026-03-13,Ba Đình,0,,0,,0,,,
2026-03-13,Đông Anh,0,,0,,0,,,
2026-03-13,Đan Phượng,66,,1,5.0,0,,71.7,
2026-03-13,Nam Từ Liêm,2512,4531,6,20.0,10,33.33,93.3,35.0
2026-03-13,Cầu Giấy,0,,0,,0,,,
2026-03-13,Hà Đông,0,,0,,0,,,
2026-03-13,Hoàng Mai,0,,0,,0,,,
2026-03-13,Thanh Xuân,1378,5858,4,13.33,3,10.0,99.2,
2026-03-13,Tây Hồ,1063,3019,1,3.33,1,3.33,129.6,
2026-03-13,Bắc Từ Liêm,0,,0,,0,,,
2026-03-13,Gia Lâm,793,1025,8,26.67,10,33.33,73.4,
2026-03-13,Long Biên,703,4728,1,4.17,1,4.17,81.6,
2026-03-13,Hoài Đức,0,,0,,0,,,
2026-03-13,Đống Đa,544,7547,5,16.67,19,63.33,77.8,
2026-03-13,Hai Bà Trưng,0,,0,,0,,,
2026-03-13,Thanh Trì,0,,0,,0,,,
2026-03-13,Ba Đình,0,,0,,0,,,
2026-03-13,Đông Anh,205,1426,3,14.29,0,,103.3,
2026-03-13,Đan Phượng,66,,1,5.0,0,,71.7,
